Normalized SMILES,logEC50,RANDOM,IL
C([O-])(=O)C.OCC[NH2+]CCO,4.032215703,7,7
C(C)(=O)[O-].OCC[NH2+]CCO,4.032215703,7,7
O=C([O-])C.[NH2+](CCO)CCO,4.032215703,7,7
C(O)C[NH2+]CCO.[O-]C(C)=O,4.032215703,7,7
C([NH2+]CCO)CO.[O-]C(=O)C,4.032215703,7,7
CC(C)C(=O)[O-].OCC[NH2+]CCO,3.474216264,8,8
C(C(C)C)(=O)[O-].OCC[NH2+]CCO,3.474216264,8,8
C([O-])(=O)C(C)C.OCC[NH2+]CCO,3.474216264,8,8
O=C([O-])C(C)C.[NH2+](CCO)CCO,3.474216264,8,8
C([NH2+]CCO)CO.O=C([O-])C(C)C,3.474216264,8,8
CC(C)C([O-])=O.OCC[NH2+]CCO,3.474216264,8,8
C(C(C)C)(=O)[O-].C(O)C[NH2+]CCO,3.474216264,8,8
C(C[NH2+]CCO)O.CC(C)C(=O)[O-],3.474216264,8,8
C(C(C)C)(=O)[O-].[NH2+](CCO)CCO,3.474216264,8,8
CC(C)C(=O)[O-].OCC[NH2+]CCO,3.474216264,8,8
CC(O)C(=O)[O-].C[N+](C)(C)CCO,4.6,9,9
OC(C(=O)[O-])C.[N+](C)(C)(CCO)C,4.6,9,9
C[N+](C)(C)CCO.OC(C([O-])=O)C,4.6,9,9
C(C(=O)[O-])(O)C.C[N+](C)(C)CCO,4.6,9,9
C(=O)([O-])C(O)C.C[N+](C)(C)CCO,4.6,9,9
C(O)C[N+](C)(C)C.C([O-])(=O)C(O)C,4.6,9,9
C(O)C[N+](C)(C)C.OC(C)C(=O)[O-],4.6,9,9
C[N+](C)(C)CCO.OC(C)C([O-])=O,4.6,9,9
CC(C([O-])=O)O.C[N+](C)(C)CCO,4.6,9,9
C(=O)(C(C)O)[O-].C(C[N+](C)(C)C)O,4.6,9,9
CC(O)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.3,10,10
OC(C)C(=O)[O-].[N+]1(CCOCC1)(C)Cc1ccccc1,4.3,10,10
C([O-])(C(O)C)=O.c1c(C[N+]2(CCOCC2)C)cccc1,4.3,10,10
O1CC[N+](C)(CC1)Cc1ccccc1.[O-]C(=O)C(C)O,4.3,10,10
C([O-])(C(O)C)=O.C1C[N+](C)(Cc2ccccc2)CCO1,4.3,10,10
C(C(O)C)([O-])=O.c1cccc(C[N+]2(CCOCC2)C)c1,4.3,10,10
C([N+]1(C)CCOCC1)c1ccccc1.CC(O)C([O-])=O,4.3,10,10
CC(C(=O)[O-])O.C[N+]1(Cc2ccccc2)CCOCC1,4.3,10,10
C([O-])(=O)C(C)O.c1(C[N+]2(CCOCC2)C)ccccc1,4.3,10,10
C(O)(C)C([O-])=O.[N+]1(CCOCC1)(C)Cc1ccccc1,4.3,10,10
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCOC[n+]1cccc(O)c1,1.6,11,11
C(CCCCCCCCC)COC[n+]1cc(O)ccc1.C1(C)OS(=O)(=O)[N-]C(C=1)=O,1.6,11,11
[N-]1C(=O)C=C(C)OS1(=O)=O.[n+]1(COCCCCCCCCCCC)cc(ccc1)O,1.6,11,11
C(CCCCCC)CCCCOC[n+]1cc(ccc1)O.O1S([N-]C(=O)C=C1C)(=O)=O,1.6,11,11
C1(C)=CC([N-]S(=O)(=O)O1)=O.c1cc(O)c[n+](COCCCCCCCCCCC)c1,1.6,11,11
Oc1ccc[n+](COCCCCCCCCCCC)c1.S1(=O)([N-]C(=O)C=C(O1)C)=O,1.6,11,11
[N-]1S(=O)(OC(=CC1=O)C)=O.[n+]1(COCCCCCCCCCCC)cccc(O)c1,1.6,11,11
O1C(C)=CC(=O)[N-]S1(=O)=O.c1(O)ccc[n+](COCCCCCCCCCCC)c1,1.6,11,11
C(CCCCCOC[n+]1cc(O)ccc1)CCCCC.O=C1C=C(OS(=O)(=O)[N-]1)C,1.6,11,11
C(CCOC[n+]1cccc(c1)O)CCCCCCCC.C1=C(C)OS(=O)(=O)[N-]C1=O,1.6,11,11
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCOC[n+]1cccc(O)c1,3.0,12,12
CC1OS(=O)([N-]C(C=1)=O)=O.Oc1ccc[n+](COCCCCCCC)c1,3.0,12,12
O=S1(=O)OC(C)=CC([N-]1)=O.c1[n+](cccc1O)COCCCCCCC,3.0,12,12
C(OCCCCCCC)[n+]1cc(ccc1)O.CC1OS([N-]C(=O)C=1)(=O)=O,3.0,12,12
C(CCCCCOC[n+]1cccc(O)c1)C.C1(OS([N-]C(=O)C=1)(=O)=O)C,3.0,12,12
CC1=CC([N-]S(=O)(=O)O1)=O.c1(ccc[n+](COCCCCCCC)c1)O,3.0,12,12
C(CCC)CCCOC[n+]1cc(O)ccc1.O=S1([N-]C(=O)C=C(O1)C)=O,3.0,12,12
O=S1(=O)[N-]C(=O)C=C(C)O1.c1[n+](cccc1O)COCCCCCCC,3.0,12,12
C(C)CCCCCOC[n+]1cccc(O)c1.C1(=O)[N-]S(=O)(=O)OC(=C1)C,3.0,12,12
O1C(C)=CC([N-]S1(=O)=O)=O.c1(O)ccc[n+](c1)COCCCCCCC,3.0,12,12
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCOC[n+]1cccc(O)c1,3.4,13,13
[N-]1S(=O)(OC(C)=CC1=O)=O.[n+]1(cccc(c1)O)COCCCCCC,3.4,13,13
S1(=O)([N-]C(C=C(C)O1)=O)=O.c1cc(O)c[n+](c1)COCCCCCC,3.4,13,13
O=S1([N-]C(=O)C=C(O1)C)=O.[n+]1(cccc(c1)O)COCCCCCC,3.4,13,13
C1=C(C)OS(=O)(=O)[N-]C1=O.O(CCCCCC)C[n+]1cccc(O)c1,3.4,13,13
C(OCCCCCC)[n+]1cc(O)ccc1.O=C1C=C(OS(=O)([N-]1)=O)C,3.4,13,13
CC1OS(=O)([N-]C(=O)C=1)=O.CCCCCCOC[n+]1cc(O)ccc1,3.4,13,13
C(CCCOC[n+]1cccc(c1)O)CC.CC1OS([N-]C(=O)C=1)(=O)=O,3.4,13,13
C(COC[n+]1cccc(O)c1)CCCC.C1(C)=CC([N-]S(=O)(=O)O1)=O,3.4,13,13
O=S1(=O)OC(=CC([N-]1)=O)C.Oc1c[n+](COCCCCCC)ccc1,3.4,13,13
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCOC[n+]1cccc(O)c1,3.7,14,14
C(CC)COC[n+]1cc(ccc1)O.O=S1(OC(C)=CC([N-]1)=O)=O,3.7,14,14
CC1=CC([N-]S(=O)(O1)=O)=O.[n+]1(COCCCC)cccc(O)c1,3.7,14,14
C1(=O)[N-]S(=O)(=O)OC(=C1)C.[n+]1(cccc(c1)O)COCCCC,3.7,14,14
C1(C)=CC(=O)[N-]S(O1)(=O)=O.c1cc(O)c[n+](COCCCC)c1,3.7,14,14
C(CCC)OC[n+]1cccc(O)c1.O=S1(=O)OC(C)=CC(=O)[N-]1,3.7,14,14
O1C(C)=CC(=O)[N-]S1(=O)=O.c1(O)c[n+](ccc1)COCCCC,3.7,14,14
CCCCOC[n+]1cccc(c1)O.O1S(=O)(=O)[N-]C(C=C1C)=O,3.7,14,14
[N-]1C(=O)C=C(OS1(=O)=O)C.c1ccc(c[n+]1COCCCC)O,3.7,14,14
O1C(C)=CC([N-]S1(=O)=O)=O.c1c(ccc[n+]1COCCCC)O,3.7,14,14
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCOC[n+]1cccc(O)c1,3.5,15,15
O(C[n+]1cc(O)ccc1)CCC.O=C1[N-]S(=O)(OC(C)=C1)=O,3.5,15,15
C1(C=C(OS(=O)(=O)[N-]1)C)=O.c1c[n+](cc(O)c1)COCCC,3.5,15,15
C1(=CC(=O)[N-]S(=O)(=O)O1)C.Oc1c[n+](COCCC)ccc1,3.5,15,15
O(C[n+]1cc(O)ccc1)CCC.O=C1[N-]S(=O)(OC(=C1)C)=O,3.5,15,15
O=S1(=O)[N-]C(=O)C=C(O1)C.c1cc(O)c[n+](c1)COCCC,3.5,15,15
[N-]1S(=O)(OC(=CC1=O)C)=O.[n+]1(COCCC)cc(ccc1)O,3.5,15,15
CCCOC[n+]1cccc(c1)O.[N-]1S(=O)(OC(=CC1=O)C)=O,3.5,15,15
CCCOC[n+]1cccc(O)c1.O=S1([N-]C(=O)C=C(O1)C)=O,3.5,15,15
O=C1[N-]S(=O)(OC(=C1)C)=O.c1(c[n+](COCCC)ccc1)O,3.5,15,15
CCC(=O)[O-].OCC[NH2+]CCO,3.767155866,16,16
C(CC)([O-])=O.C(O)C[NH2+]CCO,3.767155866,16,16
C(CC)(=O)[O-].C(C[NH2+]CCO)O,3.767155866,16,16
CCC([O-])=O.OCC[NH2+]CCO,3.767155866,16,16
C([NH2+]CCO)CO.CCC(=O)[O-],3.767155866,16,16
C(CO)[NH2+]CCO.O=C(CC)[O-],3.767155866,16,16
C(C(=O)[O-])C.C(C[NH2+]CCO)O,3.767155866,16,16
C(CO)[NH2+]CCO.O=C([O-])CC,3.767155866,16,16
C(O)C[NH2+]CCO.[O-]C(CC)=O,3.767155866,16,16
C(=O)([O-])CC.C([NH2+]CCO)CO,3.767155866,16,16
CCC(CC)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,4.13,17,17
CCC(CC)C(=O)[O-].[N+]1(C)(Cc2ccccc2)CCOCC1,4.13,17,17
C(C(CC)C([O-])=O)C.C(c1ccccc1)[N+]1(C)CCOCC1,4.13,17,17
O=C([O-])C(CC)CC.c1ccc(C[N+]2(C)CCOCC2)cc1,4.13,17,17
CCC(CC)C(=O)[O-].C[N+]1(CCOCC1)Cc1ccccc1,4.13,17,17
C(C)C(C([O-])=O)CC.C1COCC[N+]1(Cc1ccccc1)C,4.13,17,17
C(=O)(C(CC)CC)[O-].C1COCC[N+]1(Cc1ccccc1)C,4.13,17,17
CCC(CC)C(=O)[O-].c1cc(ccc1)C[N+]1(C)CCOCC1,4.13,17,17
C(CC)(C(=O)[O-])CC.[N+]1(CCOCC1)(C)Cc1ccccc1,4.13,17,17
C(CC)(CC)C([O-])=O.C1COCC[N+]1(C)Cc1ccccc1,4.13,17,17
CCCC(=O)[O-].OCC[NH+](CCO)CCO,3.394451681,18,18
C(=O)(CCC)[O-].[NH+](CCO)(CCO)CCO,3.394451681,18,18
C(C(=O)[O-])CC.C(C[NH+](CCO)CCO)O,3.394451681,18,18
C(CO)[NH+](CCO)CCO.C([O-])(=O)CCC,3.394451681,18,18
C(CC(=O)[O-])C.OCC[NH+](CCO)CCO,3.394451681,18,18
C(C)CC([O-])=O.OCC[NH+](CCO)CCO,3.394451681,18,18
C([NH+](CCO)CCO)CO.O=C(CCC)[O-],3.394451681,18,18
C(C)CC([O-])=O.OCC[NH+](CCO)CCO,3.394451681,18,18
C(C([O-])=O)CC.C(O)C[NH+](CCO)CCO,3.394451681,18,18
OCC[NH+](CCO)CCO.[O-]C(=O)CCC,3.394451681,18,18
CCCC(=O)[O-].OCC[NH2+]CCO,3.245512668,19,19
C(=O)(CCC)[O-].C(O)C[NH2+]CCO,3.245512668,19,19
C(CO)[NH2+]CCO.CCCC(=O)[O-],3.245512668,19,19
C(C)CC([O-])=O.C([NH2+]CCO)CO,3.245512668,19,19
CCCC(=O)[O-].OCC[NH2+]CCO,3.245512668,19,19
C([NH2+]CCO)CO.[O-]C(CCC)=O,3.245512668,19,19
C([NH2+]CCO)CO.CCCC(=O)[O-],3.245512668,19,19
C(CC)C(=O)[O-].C(C[NH2+]CCO)O,3.245512668,19,19
C([NH2+]CCO)CO.[O-]C(=O)CCC,3.245512668,19,19
C(C)CC([O-])=O.C(C[NH2+]CCO)O,3.245512668,19,19
CCCC(=O)[O-].[NH3+]CCCO,3.260071388,20,20
C(O)CC[NH3+].C([O-])(CCC)=O,3.260071388,20,20
C(CC[NH3+])O.[O-]C(CCC)=O,3.260071388,20,20
C(CO)C[NH3+].C([O-])(=O)CCC,3.260071388,20,20
C(C)CC([O-])=O.OCCC[NH3+],3.260071388,20,20
C(C(=O)[O-])CC.C(CC[NH3+])O,3.260071388,20,20
[NH3+]CCCO.[O-]C(=O)CCC,3.260071388,20,20
C(C(=O)[O-])CC.C([NH3+])CCO,3.260071388,20,20
C(C([O-])=O)CC.C(CC[NH3+])O,3.260071388,20,20
C(CO)C[NH3+].CCCC([O-])=O,3.260071388,20,20
CCCCC(=O)[O-].OCC[NH+](CCO)CCO,3.530199698,21,21
C(=O)(CCCC)[O-].OCC[NH+](CCO)CCO,3.530199698,21,21
[NH+](CCO)(CCO)CCO.[O-]C(=O)CCCC,3.530199698,21,21
C(CCC(=O)[O-])C.C(C[NH+](CCO)CCO)O,3.530199698,21,21
C([NH+](CCO)CCO)CO.CCCCC([O-])=O,3.530199698,21,21
C(CCC(=O)[O-])C.OCC[NH+](CCO)CCO,3.530199698,21,21
C(CCCC)(=O)[O-].OCC[NH+](CCO)CCO,3.530199698,21,21
C(C)CCC([O-])=O.OCC[NH+](CCO)CCO,3.530199698,21,21
C(CCC)C([O-])=O.C(C[NH+](CCO)CCO)O,3.530199698,21,21
C([NH+](CCO)CCO)CO.CCCCC([O-])=O,3.530199698,21,21
CCCCC(=O)[O-].OCC[NH2+]CCO,3.72427587,22,22
CCCCC(=O)[O-].[NH2+](CCO)CCO,3.72427587,22,22
CCCCC(=O)[O-].OCC[NH2+]CCO,3.72427587,22,22
OCC[NH2+]CCO.[O-]C(=O)CCCC,3.72427587,22,22
C(C[NH2+]CCO)O.O=C([O-])CCCC,3.72427587,22,22
C(CCCC)(=O)[O-].[NH2+](CCO)CCO,3.72427587,22,22
C(C)CCC(=O)[O-].C(CO)[NH2+]CCO,3.72427587,22,22
C(CC(=O)[O-])CC.C(CO)[NH2+]CCO,3.72427587,22,22
C(C[NH2+]CCO)O.CCCCC([O-])=O,3.72427587,22,22
C(CCC(=O)[O-])C.C(CO)[NH2+]CCO,3.72427587,22,22
CCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,3.63,23,23
C(C)CCCC(=O)[O-].C1COCC[N+]1(C)Cc1ccccc1,3.63,23,23
C1C[N+](Cc2ccccc2)(C)CCO1.[O-]C(=O)CCCCC,3.63,23,23
C(CC)CCC(=O)[O-].C1[N+](C)(CCOC1)Cc1ccccc1,3.63,23,23
O1CC[N+](Cc2ccccc2)(CC1)C.O=C(CCCCC)[O-],3.63,23,23
CCCCCC([O-])=O.C[N+]1(CCOCC1)Cc1ccccc1,3.63,23,23
C(c1ccccc1)[N+]1(C)CCOCC1.[O-]C(CCCCC)=O,3.63,23,23
[O-]C(CCCCC)=O.c1cc(C[N+]2(CCOCC2)C)ccc1,3.63,23,23
C(CC([O-])=O)CCC.c1cccc(c1)C[N+]1(CCOCC1)C,3.63,23,23
C(C(=O)[O-])CCCC.C([N+]1(C)CCOCC1)c1ccccc1,3.63,23,23
CCCCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,3.22,24,24
C(CCCCCC(=O)[O-])C.C1OCC[N+](C)(Cc2ccccc2)C1,3.22,24,24
C(=O)([O-])CCCCCCC.c1(ccccc1)C[N+]1(C)CCOCC1,3.22,24,24
C(CCC)CCCC(=O)[O-].C1[N+](CCOC1)(C)Cc1ccccc1,3.22,24,24
C(CCCCCCC)(=O)[O-].c1c(C[N+]2(CCOCC2)C)cccc1,3.22,24,24
C(CCCCCC)C(=O)[O-].c1ccccc1C[N+]1(C)CCOCC1,3.22,24,24
CCCCCCCC([O-])=O.O1CC[N+](CC1)(Cc1ccccc1)C,3.22,24,24
C[N+]1(CCOCC1)Cc1ccccc1.[O-]C(=O)CCCCCCC,3.22,24,24
C(CCCCC)CC(=O)[O-].C1COCC[N+]1(C)Cc1ccccc1,3.22,24,24
CCCCCCCC(=O)[O-].[N+]1(CCOCC1)(C)Cc1ccccc1,3.22,24,24
CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO.CCOS(=O)(=O)[O-],0.068185862,25,25
C(OS([O-])(=O)=O)C.CC[N+]1=C(N(CC1)CCO)CCCCCCCC=CCCCCCCCC,0.068185862,25,25
C(CCC1N(CCO)CC[N+]=1CC)CCCCC=CCCCCCCCC.C(OS(=O)([O-])=O)C,0.068185862,25,25
C1(CCCCCCCC=CCCCCCCCC)N(CCO)CC[N+]=1CC.O(S([O-])(=O)=O)CC,0.068185862,25,25
C(CC1N(CC[N+]=1CC)CCO)CCCCCC=CCCCCCCCC.C(OS([O-])(=O)=O)C,0.068185862,25,25
C(C=CCCCCCCCC)CCCCCCC1N(CC[N+]=1CC)CCO.O(CC)S([O-])(=O)=O,0.068185862,25,25
C(CC=CCCCCCCCC)CCCCCC1=[N+](CCN1CCO)CC.S(=O)([O-])(OCC)=O,0.068185862,25,25
C(C)OS([O-])(=O)=O.C(CCCC1=[N+](CC)CCN1CCO)CCCC=CCCCCCCCC,0.068185862,25,25
C(CCCCCC)CC=CCCCCCCCC1N(CC[N+]=1CC)CCO.C(OS(=O)(=O)[O-])C,0.068185862,25,25
C(CC=CCCCCCCCC1=[N+](CC)CCN1CCO)CCCCCC.O(CC)S(=O)([O-])=O,0.068185862,25,25
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.012837225,26,26
C(CCCCCCCCCn1c[n+](cc1)C)CCCCCCCC.[Cl-],0.012837225,26,26
[Cl-].c1[n+](ccn1CCCCCCCCCCCCCCCCCC)C,0.012837225,26,26
C(CCCCCCC)CCCCCCCCCCn1c[n+](cc1)C.[Cl-],0.012837225,26,26
C(CCCCCCCCCCn1cc[n+](c1)C)CCCCCCC.[Cl-],0.012837225,26,26
C(CCCCn1c[n+](C)cc1)CCCCCCCCCCCCC.[Cl-],0.012837225,26,26
C(CCCCCCCCCCCCCCCCC)n1c[n+](C)cc1.[Cl-],0.012837225,26,26
C(CCCCCCCCCCCCCCCCn1cc[n+](c1)C)C.[Cl-],0.012837225,26,26
C(CCCCCCCCCCCCCC)CCCn1cc[n+](C)c1.[Cl-],0.012837225,26,26
C(CC)CCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.012837225,26,26
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.33,27,27
C(CCCCCCCCCCC[N+](C)(Cc1ccccc1)C)CCCC.[Cl-],0.33,27,27
C(c1ccccc1)[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],0.33,27,27
C(CCCCCCCCCCCCCC)C[N+](Cc1ccccc1)(C)C.[Cl-],0.33,27,27
C(CCCCCCCCCCCCC[N+](C)(Cc1ccccc1)C)CC.[Cl-],0.33,27,27
[Cl-].[N+](CCCCCCCCCCCCCCCC)(C)(Cc1ccccc1)C,0.33,27,27
[Cl-].c1cc(ccc1)C[N+](CCCCCCCCCCCCCCCC)(C)C,0.33,27,27
C(CCCCCCCCCCCCCC)C[N+](C)(C)Cc1ccccc1.[Cl-],0.33,27,27
[Cl-].c1cc(ccc1)C[N+](C)(CCCCCCCCCCCCCCCC)C,0.33,27,27
C(CCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C)C.[Cl-],0.33,27,27
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],-0.2401660775,28,28
[Cl-].n1(cc[n+](C)c1)CCCCCCCCCCCCCCCC,-0.2401660775,28,28
[Cl-].c1[n+](C)cn(c1)CCCCCCCCCCCCCCCC,-0.2401660775,28,28
C(CCCCn1c[n+](C)cc1)CCCCCCCCCCC.[Cl-],-0.2401660775,28,28
C(CCCCC)CCCCCCCCCCn1cc[n+](C)c1.[Cl-],-0.2401660775,28,28
C(CCCCCn1cc[n+](c1)C)CCCCCCCCCC.[Cl-],-0.2401660775,28,28
C[n+]1ccn(c1)CCCCCCCCCCCCCCCC.[Cl-],-0.2401660775,28,28
C(CCCCCCCCCCCCCC)Cn1c[n+](C)cc1.[Cl-],-0.2401660775,28,28
[Cl-].c1c[n+](cn1CCCCCCCCCCCCCCCC)C,-0.2401660775,28,28
C(CCCCCCCCCCCn1c[n+](C)cc1)CCCC.[Cl-],-0.2401660775,28,28
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.16,29,29
C(C)CCCCCCCCCCCC[N+](C)(Cc1ccccc1)C.[Cl-],0.16,29,29
C(CCCCCCCCCCCC)C[N+](C)(Cc1ccccc1)C.[Cl-],0.16,29,29
[Cl-].c1ccc(C[N+](C)(CCCCCCCCCCCCCC)C)cc1,0.16,29,29
C[N+](C)(CCCCCCCCCCCCCC)Cc1ccccc1.[Cl-],0.16,29,29
[Cl-].c1c(cccc1)C[N+](C)(CCCCCCCCCCCCCC)C,0.16,29,29
C(CC)CCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.16,29,29
C(CCCC[N+](C)(Cc1ccccc1)C)CCCCCCCCC.[Cl-],0.16,29,29
C[N+](CCCCCCCCCCCCCC)(C)Cc1ccccc1.[Cl-],0.16,29,29
[Cl-].c1cc(C[N+](CCCCCCCCCCCCCC)(C)C)ccc1,0.16,29,29
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[B-](F)(F)F,0.48,30,30
C([P+](CCCCCC)(CCCCCCCCCCCCCC)CCCCCC)CCCCC.F[B-](F)(F)F,0.48,30,30
C(CCCC[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC)C.F[B-](F)(F)F,0.48,30,30
C([P+](CCCCCC)(CCCCCCCCCCCCCC)CCCCCC)CCCCC.F[B-](F)(F)F,0.48,30,30
