IL SMILES,x_CO2,T/K,P/bar,Normalized SMILES,RANDOM,IL,ln(x_CO2)
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0016,333.05,0.146,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,36,1,-6.43775165
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.00275,298.16,0.136,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,37,1,-5.896154367
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.0024,298.16,0.0746,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38,1,-6.032286542
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.000529,333.05,0.0526,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,39,1,-7.544522126
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.00743,333.05,0.0504,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,40,1,-4.90222942
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.000808,298.16,0.0319,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,41,1,-7.120948499
FC(CC[N+]1=CN(C=C1)C)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.000121,333.05,0.00798,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42,1,-9.019720012
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.853,313.22,92.3,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,43,2,-0.158995731
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.761,333.3,90.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,44,2,-0.273121921
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.699,333.3,77.2,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45,2,-0.358104537
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.781,313.22,70.3,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,46,2,-0.247180129
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.668,333.3,66.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,47,2,-0.403467105
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.617,333.3,56.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,48,2,-0.482886255
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.735,313.22,56.6,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,49,2,-0.30788478
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.762,298.13,51.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,50,2,-0.271808723
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.668,313.22,46.4,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,51,2,-0.403467105
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.557,333.3,42.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,52,2,-0.585190039
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.683,298.13,36,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,53,2,-0.381260419
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.627,313.22,35.6,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,54,2,-0.466808738
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.479,333.3,32.2,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,55,2,-0.736054682
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.562,313.22,27.1,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,56,2,-0.576253429
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.554,298.13,25.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,57,2,-0.590590592
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.377,333.3,20.4,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,58,2,-0.975510092
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.394,313.22,17.3,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,59,2,-0.93140437
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.473,298.13,16.9,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,60,2,-0.74865989
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.337,298.16,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,61,2,-1.087672349
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.337,298.16,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,62,2,-1.087672349
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.22,333.13,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,63,2,-1.514127733
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.22,333.13,13,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,64,2,-1.514127733
FC(CC[N+]1=CN(C=C1)C)(C(C(C(F)(F)F)(F)F)(F)F)F.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,0.319,298.16,12,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,65,2,-1.142564176
