,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
6868,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,333.15,1993,0.2799,13,19.93,0.2799
6869,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,333.3,3361,0.2794,0,33.61,0.2794
6870,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15,993,0.2792,13,9.93,0.2792
6871,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.2,3256,0.279101441,13,32.56,0.279101441
6872,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.16,1000,0.279,25,10,0.279
6873,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,333.3,3361,0.279,0,33.61,0.279
6874,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1200,0.279,2,12,0.279
6875,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1200,0.279,2,12,0.279
6876,Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.16,1000,0.279,145,10,0.279
6877,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1500,0.279,143,15,0.279
6878,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,273.2,844,0.278623982,27,8.44,0.278623982
6879,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1700,0.2784,205,17,0.2784
6880,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,333.2,4118,0.278262657,42,41.18,0.278262657
6881,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15,1000,0.278,13,10,0.278
6882,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.3,1496,0.278,18,14.96,0.278
6883,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,343.2,4615,0.277992519,42,46.15,0.277992519
6884,CCCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,308.15,1793,0.2779,6,17.93,0.2779
6885,CCCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,308.15,1793,0.2779,6,17.93,0.2779
6886,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,333.2,4339,0.277879161,41,43.39,0.277879161
6887,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373.15,2870,0.2778,15,28.7,0.2778
6888,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363.15,2550,0.2778,15,25.5,0.2778
6889,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,353.15,2220,0.2778,15,22.2,0.2778
6890,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,343.15,1920,0.2778,15,19.2,0.2778
