Td/K,IL,Normalized SMILES
632,9,C(C)CCn1c[nH+]cc1.FC(F)(S([O-])(=O)=O)F
632,9,O=S([O-])(=O)C(F)(F)F.c1c[nH+]cn1CCCC
632,9,C(CCC)n1c[nH+]cc1.FC(S(=O)([O-])=O)(F)F
632,9,[O-]S(=O)(=O)C(F)(F)F.c1c[nH+]cn1CCCC
632,9,O=S(C(F)(F)F)([O-])=O.c1n(CCCC)cc[nH+]1
632,9,O=S([O-])(C(F)(F)F)=O.c1[nH+]cn(CCCC)c1
632,9,C(CC)Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F
446,10,CCCC[n+]1cc[nH]c1.O=C([O-])C(F)(F)F
446,10,C(CC[n+]1cc[nH]c1)C.FC(F)(F)C(=O)[O-]
446,10,C(C)CC[n+]1c[nH]cc1.C([O-])(C(F)(F)F)=O
446,10,C(C(F)(F)F)(=O)[O-].C(CC)C[n+]1cc[nH]c1
446,10,C(F)(F)(C(=O)[O-])F.CCCC[n+]1cc[nH]c1
446,10,FC(F)(C(=O)[O-])F.c1[n+](CCCC)cc[nH]1
446,10,C(CCC)[n+]1cc[nH]c1.[O-]C(=O)C(F)(F)F
446,10,FC(F)(C(=O)[O-])F.c1[n+](CCCC)c[nH]c1
446,10,C(CC)C[n+]1cc[nH]c1.FC(C([O-])=O)(F)F
446,10,C(C[n+]1c[nH]cc1)CC.[O-]C(C(F)(F)F)=O
462,11,CCCCn1cc[nH+]c1.O=P([O-])(O)O
462,11,[O-]P(=O)(O)O.c1[nH+]cn(CCCC)c1
462,11,P([O-])(O)(O)=O.[nH+]1ccn(CCCC)c1
462,11,C(Cn1cc[nH+]c1)CC.[O-]P(=O)(O)O
462,11,OP([O-])(=O)O.[nH+]1cn(cc1)CCCC
462,11,O=P(O)(O)[O-].n1(c[nH+]cc1)CCCC
462,11,C(n1cc[nH+]c1)CCC.OP(=O)(O)[O-]
462,11,C(C)CCn1c[nH+]cc1.OP([O-])(=O)O
462,11,C(CCn1c[nH+]cc1)C.[O-]P(O)(O)=O
462,11,OP([O-])(O)=O.c1[nH+]cn(c1)CCCC
436,12,CCCCn1cc[nH+]c1.O=C(O)c1ccccc1[O-]
436,12,C(=O)(c1ccccc1[O-])O.C(CCC)n1cc[nH+]c1
436,12,C(CCC)n1c[nH+]cc1.c1ccc(c(c1)[O-])C(O)=O
436,12,C(=O)(c1ccccc1[O-])O.C(CCn1cc[nH+]c1)C
436,12,c1cccc(C(O)=O)c1[O-].c1n(CCCC)c[nH+]c1
436,12,c1(ccccc1[O-])C(=O)O.c1[nH+]cn(CCCC)c1
436,12,OC(=O)c1c([O-])cccc1.n1(cc[nH+]c1)CCCC
436,12,c1([O-])ccccc1C(=O)O.c1cn(c[nH+]1)CCCC
436,12,C(CCC)n1c[nH+]cc1.c1cc(c(cc1)[O-])C(O)=O
436,12,O=C(O)c1ccccc1[O-].c1cn(CCCC)c[nH+]1
623,13,Cc1cccc(C[N+]2(C)CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
623,13,C1C[N+](Cc2cccc(c2)C)(CC1)C.FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F
623,13,FC(F)(F)S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O.c1(cccc(c1)C[N+]1(CCCC1)C)C
623,13,FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.c1ccc(cc1C)C[N+]1(CCCC1)C
623,13,C1[N+](C)(CCC1)Cc1cc(C)ccc1.S(=O)(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F
623,13,FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.c1(cccc(C)c1)C[N+]1(C)CCCC1
623,13,FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F.c1c(cccc1C)C[N+]1(C)CCCC1
623,13,C1[N+](CCC1)(Cc1cc(C)ccc1)C.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
623,13,S(=O)(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F.c1cc(C)cc(c1)C[N+]1(CCCC1)C
623,13,C1[N+](Cc2cccc(C)c2)(CCC1)C.O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F
663,14,C[N+]1(Cc2cccc(F)c2)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
663,14,O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O.c1(C[N+]2(CCCC2)C)cccc(F)c1
663,14,FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.c1cc(cc(c1)C[N+]1(CCCC1)C)F
663,14,FC(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O.c1c(F)cc(C[N+]2(C)CCCC2)cc1
663,14,FC(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)(F)F.c1(cccc(F)c1)C[N+]1(CCCC1)C
663,14,C1CCC[N+]1(C)Cc1cc(ccc1)F.FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F
663,14,FC(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)F.c1c(cc(C[N+]2(C)CCCC2)cc1)F
663,14,O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F.c1c(cccc1C[N+]1(C)CCCC1)F
663,14,C(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)(F)F.c1ccc(cc1C[N+]1(C)CCCC1)F
663,14,FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O.[N+]1(Cc2cccc(F)c2)(C)CCCC1
583,15,C[N+]1(Cc2ccccc2[N+](=O)[O-])CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
583,15,C(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)F.[N+](c1c(C[N+]2(CCCC2)C)cccc1)([O-])=O
583,15,O=S(=O)(C(F)(F)F)[N-]S(=O)(C(F)(F)F)=O.c1ccc(c(c1)C[N+]1(CCCC1)C)[N+](=O)[O-]
583,15,FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.c1c(C[N+]2(CCCC2)C)c(ccc1)[N+](=O)[O-]
583,15,C(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.c1(C[N+]2(CCCC2)C)ccccc1[N+](=O)[O-]
583,15,C[N+]1(CCCC1)Cc1c(cccc1)[N+](=O)[O-].FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
583,15,FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.c1cccc(C[N+]2(CCCC2)C)c1[N+]([O-])=O
583,15,FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.c1ccc([N+]([O-])=O)c(C[N+]2(CCCC2)C)c1
583,15,FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O.c1(ccccc1[N+]([O-])=O)C[N+]1(C)CCCC1
583,15,C(F)(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F.C1C[N+](CC1)(C)Cc1ccccc1[N+]([O-])=O
323,16,NC(=S)[S-].[NH4+]
323,16,C([S-])(=S)N.[NH4+]
323,16,[NH4+].[S-]C(=S)N
323,16,NC([S-])=S.[NH4+]
323,16,S=C([S-])N.[NH4+]
323,16,S=C([S-])N.[NH4+]
323,16,C(=S)(N)[S-].[NH4+]
323,16,NC([S-])=S.[NH4+]
323,16,NC(=S)[S-].[NH4+]
323,16,NC([S-])=S.[NH4+]
593,17,C[N+]1(Cc2ccc([N+](=O)[O-])cc2)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
593,17,C1CC[N+](Cc2ccc(cc2)[N+]([O-])=O)(C)C1.FC(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F
593,17,O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O.[O-][N+](=O)c1ccc(C[N+]2(CCCC2)C)cc1
593,17,C1CC[N+](C)(Cc2ccc([N+]([O-])=O)cc2)C1.FC(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)(F)F
593,17,FC(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)F.c1c(ccc(c1)C[N+]1(C)CCCC1)[N+](=O)[O-]
593,17,O=S([N-]S(C(F)(F)F)(=O)=O)(=O)C(F)(F)F.O=[N+]([O-])c1ccc(C[N+]2(CCCC2)C)cc1
593,17,O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F.c1cc(ccc1[N+](=O)[O-])C[N+]1(C)CCCC1
593,17,C(F)(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.C1CCC[N+]1(Cc1ccc(cc1)[N+](=O)[O-])C
593,17,[N-](S(=O)(C(F)(F)F)=O)S(=O)(=O)C(F)(F)F.c1(ccc(C[N+]2(C)CCCC2)cc1)[N+](=O)[O-]
593,17,FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F.O=[N+]([O-])c1ccc(C[N+]2(C)CCCC2)cc1
653,18,C[N+]1(Cc2ccccc2F)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
653,18,FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.c1(F)c(cccc1)C[N+]1(CCCC1)C
653,18,C1CCC[N+]1(Cc1ccccc1F)C.S([N-]S(C(F)(F)F)(=O)=O)(=O)(=O)C(F)(F)F
653,18,C[N+]1(Cc2ccccc2F)CCCC1.FC(F)(F)S([N-]S(=O)(=O)C(F)(F)F)(=O)=O
653,18,FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.c1cccc(c1F)C[N+]1(CCCC1)C
653,18,C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)(F)F.[N+]1(C)(Cc2c(F)cccc2)CCCC1
653,18,S(=O)(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O.c1c(F)c(C[N+]2(C)CCCC2)ccc1
653,18,C(F)(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)F.c1ccc(F)c(C[N+]2(C)CCCC2)c1
653,18,C1CCC[N+]1(C)Cc1c(F)cccc1.FC(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F
653,18,Fc1ccccc1C[N+]1(C)CCCC1.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
325,19,CCn1cc[n+](C)c1.N#C[C-](N=O)[N+](=O)[O-]
325,19,[O-][N+](=O)[C-](N=O)C#N.c1[n+](C)cn(CC)c1
325,19,N([C-]([N+](=O)[O-])C#N)=O.c1c[n+](cn1CC)C
325,19,[N+]([C-](C#N)N=O)(=O)[O-].c1[n+](ccn1CC)C
325,19,CCn1cc[n+](C)c1.O=N[C-](C#N)[N+]([O-])=O
325,19,CCn1cc[n+](c1)C.N([C-]([N+](=O)[O-])C#N)=O
325,19,N#C[C-]([N+]([O-])=O)N=O.c1[n+](cn(CC)c1)C
325,19,CCn1c[n+](cc1)C.O=[N+]([C-](N=O)C#N)[O-]
325,19,[O-][N+]([C-](N=O)C#N)=O.c1[n+](C)cn(CC)c1
325,19,C(n1cc[n+](C)c1)C.N([C-](C#N)[N+]([O-])=O)=O
673,20,C[N+]1(CCc2ccccc2)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
673,20,FC(F)(F)S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O.c1ccc(CC[N+]2(C)CCCC2)cc1
673,20,C(C[N+]1(C)CCCC1)c1ccccc1.S(C(F)(F)F)(=O)([N-]S(C(F)(F)F)(=O)=O)=O
673,20,C(c1ccccc1)C[N+]1(C)CCCC1.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
673,20,[N-](S(C(F)(F)F)(=O)=O)S(=O)(C(F)(F)F)=O.c1cc(CC[N+]2(C)CCCC2)ccc1
673,20,FC(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O.[N+]1(C)(CCc2ccccc2)CCCC1
673,20,C([N+]1(CCCC1)C)Cc1ccccc1.S(C(F)(F)F)(=O)(=O)[N-]S(C(F)(F)F)(=O)=O
673,20,C1CC[N+](CCc2ccccc2)(C)C1.O=S(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O
673,20,FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F.c1cccc(c1)CC[N+]1(CCCC1)C
673,20,C1[N+](CCC1)(CCc1ccccc1)C.FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F
333,21,NC(=O)[O-].[NH4+]
333,21,C(=O)([O-])N.[NH4+]
333,21,C([O-])(N)=O.[NH4+]
333,21,[NH4+].[O-]C(N)=O
333,21,[NH4+].[O-]C(N)=O
333,21,[NH4+].[O-]C(N)=O
333,21,[NH4+].[O-]C(=O)N
333,21,C(=O)(N)[O-].[NH4+]
333,21,[NH4+].[O-]C(N)=O
333,21,[NH4+].[O-]C(=O)N
603,22,Cc1cccc(C[N+]2(C)CCCC2)c1.F[P-](F)(F)(F)(F)F
603,22,[N+]1(CCCC1)(Cc1cc(ccc1)C)C.[P-](F)(F)(F)(F)(F)F
603,22,C1CCC[N+]1(Cc1cccc(C)c1)C.F[P-](F)(F)(F)(F)F
603,22,F[P-](F)(F)(F)(F)F.c1c(cccc1C[N+]1(C)CCCC1)C
603,22,F[P-](F)(F)(F)(F)F.c1(C)cccc(c1)C[N+]1(CCCC1)C
603,22,F[P-](F)(F)(F)(F)F.c1cc(C)cc(c1)C[N+]1(CCCC1)C
603,22,F[P-](F)(F)(F)(F)F.c1c(cc(C)cc1)C[N+]1(CCCC1)C
603,22,F[P-](F)(F)(F)(F)F.c1c(cccc1C)C[N+]1(CCCC1)C
603,22,F[P-](F)(F)(F)(F)F.c1(C)cccc(C[N+]2(CCCC2)C)c1
603,22,F[P-](F)(F)(F)(F)F.[N+]1(CCCC1)(C)Cc1cc(C)ccc1
338,23,CCCCn1cc[n+](C)c1.N#C[C-](N=O)[N+](=O)[O-]
