Tg/K,IL,Normalized SMILES
241,6,C(n1cc[n+](CCC)c1C)n1nccc1.FC(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)F
229,7,C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)(F)F.C([n+]1c(n(Cn2cccn2)cc1)C)CCC
229,7,S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)(=O)=O.c1[n+](CCCC)c(n(Cn2cccn2)c1)C
229,7,C(C)CC[n+]1c(n(cc1)Cn1nccc1)C.FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F
229,7,C(F)(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.n1cccn1Cn1cc[n+](c1C)CCCC
229,7,C(C)CC[n+]1c(C)n(Cn2nccc2)cc1.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
229,7,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.c1(C)[n+](ccn1Cn1cccn1)CCCC
229,7,Cc1n(cc[n+]1CCCC)Cn1nccc1.FC(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)F
229,7,C(F)(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.c1ccn(n1)Cn1c([n+](CCCC)cc1)C
229,7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1n(ncc1)Cn1cc[n+](CCCC)c1C
229,7,O=S([N-]S(C(F)(F)F)(=O)=O)(=O)C(F)(F)F.c1(C)n(Cn2cccn2)cc[n+]1CCCC
223,8,Cc1[n+](CCCCCC)ccn1Cn1cccn1.O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O
223,8,C(CCCC)C[n+]1ccn(c1C)Cn1cccn1.S([N-]S(=O)(=O)C(F)(F)F)(=O)(C(F)(F)F)=O
223,8,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.c1[n+](c(n(Cn2nccc2)c1)C)CCCCCC
223,8,S(=O)(=O)(C(F)(F)F)[N-]S(C(F)(F)F)(=O)=O.c1ccnn1Cn1c(C)[n+](CCCCCC)cc1
223,8,O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O.c1[n+](CCCCCC)c(C)n(c1)Cn1cccn1
223,8,C([n+]1c(C)n(cc1)Cn1nccc1)CCCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
223,8,Cc1n(cc[n+]1CCCCCC)Cn1cccn1.FC(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F
