Tg/K,IL,Normalized SMILES
219,81,N(C(N(C)C)=[NH2+])(C)C.c1([O-])ccccc1
219,81,CN(C(N(C)C)=[NH2+])C.c1cc(ccc1)[O-]
219,81,[NH2+]=C(N(C)C)N(C)C.c1cc(ccc1)[O-]
220,82,CN(C(=[NH2+])N(C)C)C.c1(ccc(cc1)C)[O-]
220,82,CN(C(=[NH2+])N(C)C)C.c1cc(C)ccc1[O-]
220,82,CN(C)C(N(C)C)=[NH2+].c1c(C)ccc(c1)[O-]
220,82,N(C)(C(=[NH2+])N(C)C)C.c1(ccc(C)cc1)[O-]
220,82,CN(C(=[NH2+])N(C)C)C.[O-]c1ccc(C)cc1
220,82,N(C)(C)C(=[NH2+])N(C)C.c1c(ccc(C)c1)[O-]
220,82,[NH2+]=C(N(C)C)N(C)C.c1(C)ccc(cc1)[O-]
220,82,CN(C(N(C)C)=[NH2+])C.c1([O-])ccc(C)cc1
220,82,C(N(C)C)(N(C)C)=[NH2+].c1c([O-])ccc(C)c1
220,82,N(C)(C(=[NH2+])N(C)C)C.c1c(C)ccc([O-])c1
220,83,N(C)(C(N(C)C)=[NH2+])C.c1(ccc(cc1)[O-])OC
220,83,CN(C(=[NH2+])N(C)C)C.c1cc([O-])ccc1OC
220,83,CN(C(=[NH2+])N(C)C)C.c1(ccc(cc1)OC)[O-]
220,83,CN(C)C(=[NH2+])N(C)C.[O-]c1ccc(OC)cc1
220,83,COc1ccc([O-])cc1.N(C)(C(=[NH2+])N(C)C)C
220,83,N(C)(C)C(N(C)C)=[NH2+].[O-]c1ccc(OC)cc1
220,83,CN(C)C(N(C)C)=[NH2+].c1cc(ccc1OC)[O-]
220,83,N(C)(C(N(C)C)=[NH2+])C.c1c(ccc(OC)c1)[O-]
220,83,N(C(N(C)C)=[NH2+])(C)C.[O-]c1ccc(cc1)OC
220,83,N(C)(C)C(=[NH2+])N(C)C.c1(ccc(cc1)[O-])OC
220,84,N(C)(C)C(N(C)C)=[NH2+].c1([O-])ccc(cc1)F
220,84,CN(C(=[NH2+])N(C)C)C.c1cc(ccc1F)[O-]
220,84,Fc1ccc(cc1)[O-].[NH2+]=C(N(C)C)N(C)C
220,84,C(N(C)C)(N(C)C)=[NH2+].c1c([O-])ccc(c1)F
220,84,C(N(C)C)(N(C)C)=[NH2+].c1c(F)ccc([O-])c1
220,84,CN(C)C(=[NH2+])N(C)C.c1cc(ccc1F)[O-]
220,84,C(=[NH2+])(N(C)C)N(C)C.c1(F)ccc([O-])cc1
220,84,CN(C)C(=[NH2+])N(C)C.Fc1ccc(cc1)[O-]
220,84,C(N(C)C)(=[NH2+])N(C)C.c1(F)ccc(cc1)[O-]
220,84,C(N(C)C)(N(C)C)=[NH2+].[O-]c1ccc(F)cc1
191,85,N#C[N-]C#N.[n+]1(ccn(CCCC)c1)CC=C
191,85,C(#N)[N-]C#N.c1n(c[n+](c1)CC=C)CCCC
191,85,C(=C)C[n+]1cn(CCCC)cc1.C([N-]C#N)#N
191,85,C(=C)C[n+]1cn(cc1)CCCC.N#C[N-]C#N
191,85,C(CCn1c[n+](CC=C)cc1)C.N#C[N-]C#N
191,85,N#C[N-]C#N.n1(cc[n+](CC=C)c1)CCCC
191,85,[N-](C#N)C#N.c1n(c[n+](CC=C)c1)CCCC
191,85,C([N-]C#N)#N.c1cn(CCCC)c[n+]1CC=C
191,85,C(CC)Cn1cc[n+](CC=C)c1.N#C[N-]C#N
191,85,CCCCn1c[n+](cc1)CC=C.[N-](C#N)C#N
184,86,[N-](C#N)C#N.[n+]1(CC=C)ccn(CCCCCC)c1
184,86,N#C[N-]C#N.n1(CCCCCC)c[n+](cc1)CC=C
184,86,C(#N)[N-]C#N.CCCCCCn1c[n+](cc1)CC=C
184,86,C(#N)[N-]C#N.CCCCCCn1c[n+](cc1)CC=C
184,86,C([n+]1cn(CCCCCC)cc1)C=C.N#C[N-]C#N
184,86,C(CCn1c[n+](cc1)CC=C)CCC.N#C[N-]C#N
184,86,C(CCCCn1cc[n+](c1)CC=C)C.N#C[N-]C#N
184,86,[N-](C#N)C#N.[n+]1(CC=C)cn(CCCCCC)cc1
184,86,N#C[N-]C#N.c1n(CCCCCC)cc[n+]1CC=C
184,86,[N-](C#N)C#N.n1(c[n+](cc1)CC=C)CCCCCC
185,87,C(C)CCCCCCn1c[n+](cc1)CC=C.N#C[N-]C#N
185,87,C(C[n+]1ccn(c1)CCCCCCCC)=C.N#C[N-]C#N
185,87,CCCCCCCCn1cc[n+](c1)CC=C.N#C[N-]C#N
185,87,CCCCCCCCn1c[n+](cc1)CC=C.[N-](C#N)C#N
185,87,CCCCCCCCn1cc[n+](c1)CC=C.N#C[N-]C#N
185,87,C([N-]C#N)#N.CCCCCCCCn1cc[n+](CC=C)c1
185,87,C([N-]C#N)#N.C([n+]1cn(cc1)CCCCCCCC)C=C
185,87,C(C=C)[n+]1ccn(CCCCCCCC)c1.[N-](C#N)C#N
185,87,C(CCCCC)CCn1cc[n+](CC=C)c1.N#C[N-]C#N
185,87,C(#N)[N-]C#N.c1cn(c[n+]1CC=C)CCCCCCCC
190,88,C([n+]1ccn(c1)CCCCCCCCCC)C=C.N#C[N-]C#N
190,88,C([N-]C#N)#N.c1[n+](ccn1CCCCCCCCCC)CC=C
190,88,CCCCCCCCCCn1cc[n+](c1)CC=C.N#C[N-]C#N
190,88,C(=C)C[n+]1ccn(c1)CCCCCCCCCC.N#C[N-]C#N
190,88,C(=C)C[n+]1ccn(CCCCCCCCCC)c1.N#C[N-]C#N
190,88,C=CC[n+]1ccn(CCCCCCCCCC)c1.[N-](C#N)C#N
190,88,C=CC[n+]1ccn(CCCCCCCCCC)c1.N#C[N-]C#N
190,88,C=CC[n+]1ccn(c1)CCCCCCCCCC.N#C[N-]C#N
190,88,C(CCCCCn1cc[n+](c1)CC=C)CCCC.[N-](C#N)C#N
190,88,C(#N)[N-]C#N.C(CCCn1cc[n+](c1)CC=C)CCCCCC
187,89,N#C[N-]C#N.c1cn(c[n+]1CC=C)C=C
187,89,C(#N)[N-]C#N.[n+]1(CC=C)cn(cc1)C=C
187,89,[N-](C#N)C#N.c1n(C=C)cc[n+]1CC=C
187,89,C(#N)[N-]C#N.C=Cn1c[n+](cc1)CC=C
187,89,N#C[N-]C#N.n1(cc[n+](c1)CC=C)C=C
187,89,C(#N)[N-]C#N.c1c[n+](cn1C=C)CC=C
187,89,N#C[N-]C#N.c1[n+](ccn1C=C)CC=C
187,89,C(n1c[n+](CC=C)cc1)=C.[N-](C#N)C#N
187,89,C([N-]C#N)#N.C=CC[n+]1cn(C=C)cc1
187,89,[N-](C#N)C#N.[n+]1(CC=C)ccn(C=C)c1
198,90,C(CCn1cc[n+](c1)C=C)CCCCC.[N-](C#N)C#N
198,90,C(CCn1cc[n+](C=C)c1)CCCCC.N#C[N-]C#N
198,90,C=C[n+]1ccn(c1)CCCCCCCC.N#C[N-]C#N
198,90,C(#N)[N-]C#N.C(CCCn1c[n+](cc1)C=C)CCCC
198,90,C(CCCC)CCCn1c[n+](C=C)cc1.C([N-]C#N)#N
198,90,C(CCn1c[n+](C=C)cc1)CCCCC.C([N-]C#N)#N
198,90,C(#N)[N-]C#N.C=C[n+]1cn(CCCCCCCC)cc1
198,90,C(CCC)CCCCn1c[n+](C=C)cc1.C([N-]C#N)#N
198,90,N#C[N-]C#N.c1n(c[n+](c1)C=C)CCCCCCCC
198,90,C(n1c[n+](cc1)C=C)CCCCCCC.N#C[N-]C#N
199,91,C(#N)[N-]C#N.[n+]1(C=C)ccn(c1)CCCCCCCCCC
199,91,N#C[N-]C#N.c1[n+](cn(CCCCCCCCCC)c1)C=C
199,91,C(CCCCCCn1cc[n+](c1)C=C)CCC.C([N-]C#N)#N
199,91,C(CCCCC)CCCCn1c[n+](C=C)cc1.C([N-]C#N)#N
199,91,C=C[n+]1ccn(c1)CCCCCCCCCC.N#C[N-]C#N
199,91,C(#N)[N-]C#N.C(CCCCCC)CCCn1c[n+](cc1)C=C
199,91,C(CCCCCCCC)Cn1c[n+](cc1)C=C.N#C[N-]C#N
199,91,C(Cn1cc[n+](C=C)c1)CCCCCCCC.[N-](C#N)C#N
199,91,N#C[N-]C#N.c1[n+](C=C)cn(CCCCCCCCCC)c1
199,91,N#C[N-]C#N.c1n(CCCCCCCCCC)c[n+](c1)C=C
282,92,C([N+](C)(C)C)C(O)=O.O(CC([O-])=O)c1ccc(Cl)cc1Cl
282,92,C[N+](C)(CC(=O)O)C.O(CC(=O)[O-])c1c(Cl)cc(cc1)Cl
282,92,C[N+](C)(C)CC(=O)O.O(c1c(cc(cc1)Cl)Cl)CC(=O)[O-]
282,92,[N+](C)(CC(O)=O)(C)C.[O-]C(=O)COc1c(Cl)cc(cc1)Cl
282,92,O(c1c(cc(cc1)Cl)Cl)CC([O-])=O.OC(C[N+](C)(C)C)=O
282,92,C(COc1c(cc(Cl)cc1)Cl)([O-])=O.C[N+](C)(CC(=O)O)C
282,92,C(=O)([O-])COc1c(Cl)cc(Cl)cc1.C[N+](C)(CC(O)=O)C
282,92,C[N+](CC(O)=O)(C)C.c1cc(cc(Cl)c1OCC([O-])=O)Cl
282,92,C([N+](C)(C)C)C(O)=O.[O-]C(=O)COc1ccc(Cl)cc1Cl
282,92,C([O-])(=O)COc1c(cc(Cl)cc1)Cl.C[N+](C)(CC(O)=O)C
274,93,O=C(C[N+](C)(C)C)O.c1c(c(OCC(=O)[O-])ccc1Cl)C
274,93,OC(C[N+](C)(C)C)=O.c1(ccc(Cl)cc1C)OCC(=O)[O-]
274,93,C(C(=O)O)[N+](C)(C)C.O=C([O-])COc1ccc(Cl)cc1C
274,93,C[N+](CC(O)=O)(C)C.O(CC([O-])=O)c1ccc(cc1C)Cl
274,93,[N+](C)(C)(C)CC(O)=O.c1cc(c(C)cc1Cl)OCC(=O)[O-]
274,93,OC(=O)C[N+](C)(C)C.c1(OCC([O-])=O)ccc(Cl)cc1C
274,93,C[N+](C)(CC(=O)O)C.Clc1cc(C)c(cc1)OCC([O-])=O
274,93,C[N+](C)(C)CC(O)=O.c1cc(c(C)cc1Cl)OCC(=O)[O-]
274,93,O=C(C[N+](C)(C)C)O.c1cc(Cl)cc(C)c1OCC([O-])=O
274,93,C[N+](CC(O)=O)(C)C.O=C([O-])COc1c(C)cc(Cl)cc1
275,94,C(O)(=O)C[N+](C)(C)C.c1c(Cl)cc(c(c1)OC(C(=O)[O-])C)C
275,94,O=C(C[N+](C)(C)C)O.c1(ccc(OC(C)C([O-])=O)c(C)c1)Cl
275,94,C[N+](C)(C)CC(=O)O.c1c(ccc(OC(C([O-])=O)C)c1C)Cl
275,94,C(C(O)=O)[N+](C)(C)C.c1(Cl)cc(C)c(OC(C)C(=O)[O-])cc1
275,94,O=C(O)C[N+](C)(C)C.c1(ccc(Cl)cc1C)OC(C([O-])=O)C
275,94,O=C(O)C[N+](C)(C)C.c1c(c(C)cc(c1)Cl)OC(C)C([O-])=O
275,94,CC(Oc1c(cc(Cl)cc1)C)C(=O)[O-].OC(=O)C[N+](C)(C)C
275,94,O=C(C[N+](C)(C)C)O.c1c(C)c(ccc1Cl)OC(C)C([O-])=O
275,94,O=C(C(C)Oc1ccc(cc1C)Cl)[O-].OC(=O)C[N+](C)(C)C
275,94,O(C(C(=O)[O-])C)c1ccc(Cl)cc1C.O=C(C[N+](C)(C)C)O
295,95,C(c1c(ccc(Cl)c1OC)Cl)(=O)[O-].C[N+](C)(C)CC(=O)O
295,95,C[N+](CC(O)=O)(C)C.[O-]C(=O)c1c(ccc(c1OC)Cl)Cl
295,95,C[N+](C)(C)CC(=O)O.Clc1ccc(Cl)c(c1OC)C(=O)[O-]
295,95,C([O-])(c1c(OC)c(Cl)ccc1Cl)=O.[N+](C)(CC(=O)O)(C)C
295,95,O=C(C[N+](C)(C)C)O.c1(C(=O)[O-])c(OC)c(Cl)ccc1Cl
295,95,O(C)c1c(Cl)ccc(Cl)c1C([O-])=O.[N+](C)(C)(CC(=O)O)C
295,95,COc1c(c(ccc1Cl)Cl)C(=O)[O-].O=C(O)C[N+](C)(C)C
295,95,O(c1c(ccc(c1C(=O)[O-])Cl)Cl)C.[N+](C)(C)(C)CC(=O)O
295,95,C([N+](C)(C)C)C(O)=O.COc1c(ccc(c1C(=O)[O-])Cl)Cl
295,95,C[N+](CC(O)=O)(C)C.O(C)c1c(Cl)ccc(Cl)c1C(=O)[O-]
294,96,C[N+](C)(CC(CC(O)=O)O)C.c1(Cl)ccc(OCC(=O)[O-])c(c1)Cl
294,96,C(C([O-])=O)Oc1ccc(cc1Cl)Cl.OC(CC(O)=O)C[N+](C)(C)C
294,96,OC(CC(O)=O)C[N+](C)(C)C.c1(Cl)ccc(c(c1)Cl)OCC(=O)[O-]
294,96,OC(=O)CC(C[N+](C)(C)C)O.[O-]C(=O)COc1c(Cl)cc(Cl)cc1
294,96,C(COc1c(Cl)cc(cc1)Cl)([O-])=O.C[N+](C)(C)CC(CC(O)=O)O
294,96,C(C(=O)O)C(C[N+](C)(C)C)O.c1(Cl)ccc(OCC(=O)[O-])c(Cl)c1
294,96,Clc1c(ccc(c1)Cl)OCC([O-])=O.OC(CC(O)=O)C[N+](C)(C)C
294,96,C[N+](C)(C)CC(O)CC(O)=O.c1(Cl)cc(ccc1OCC([O-])=O)Cl
294,96,C(O)(=O)CC(O)C[N+](C)(C)C.Clc1cc(Cl)ccc1OCC([O-])=O
294,96,Clc1cc(ccc1OCC([O-])=O)Cl.O=C(O)CC(O)C[N+](C)(C)C
288,97,C[N+](C)(CC(O)CC(O)=O)C.c1(C)c(OCC(=O)[O-])ccc(Cl)c1
288,97,C(C([O-])=O)Oc1c(C)cc(cc1)Cl.C[N+](CC(O)CC(=O)O)(C)C
288,97,C(C(CC(=O)O)O)[N+](C)(C)C.c1c(C)c(ccc1Cl)OCC(=O)[O-]
288,97,C(C[N+](C)(C)C)(CC(=O)O)O.c1c(OCC(=O)[O-])c(cc(Cl)c1)C
288,97,C[N+](C)(CC(CC(O)=O)O)C.c1(cc(ccc1OCC(=O)[O-])Cl)C
288,97,C[N+](C)(C)CC(CC(=O)O)O.c1c(C)c(ccc1Cl)OCC([O-])=O
288,97,C[N+](C)(CC(O)CC(O)=O)C.[O-]C(=O)COc1c(cc(cc1)Cl)C
288,97,C[N+](C)(C)CC(O)CC(=O)O.O(CC([O-])=O)c1ccc(cc1C)Cl
288,97,C[N+](CC(O)CC(=O)O)(C)C.c1(Cl)cc(C)c(OCC([O-])=O)cc1
288,97,OC(C[N+](C)(C)C)CC(=O)O.c1cc(c(cc1Cl)C)OCC([O-])=O
292,98,OC(C[N+](C)(C)C)CC(O)=O.c1(ccc(Cl)cc1C)OC(C([O-])=O)C
292,98,O(c1c(C)cc(Cl)cc1)C(C)C([O-])=O.O=C(O)CC(O)C[N+](C)(C)C
292,98,C(C(CC(=O)O)O)[N+](C)(C)C.Clc1ccc(OC(C)C(=O)[O-])c(c1)C
292,98,C(C(Oc1ccc(Cl)cc1C)C)([O-])=O.[N+](C)(CC(O)CC(O)=O)(C)C
292,98,C(O)(C[N+](C)(C)C)CC(=O)O.CC(C([O-])=O)Oc1c(C)cc(cc1)Cl
292,98,C(C(O)C[N+](C)(C)C)C(=O)O.c1(cc(Cl)ccc1OC(C)C(=O)[O-])C
292,98,CC(C([O-])=O)Oc1ccc(cc1C)Cl.OC(CC(O)=O)C[N+](C)(C)C
292,98,[N+](C)(CC(CC(O)=O)O)(C)C.c1c(Cl)ccc(c1C)OC(C([O-])=O)C
292,98,C[N+](C)(C)CC(O)CC(=O)O.O=C(C(C)Oc1ccc(cc1C)Cl)[O-]
292,98,OC(C[N+](C)(C)C)CC(=O)O.c1c(OC(C)C(=O)[O-])c(cc(c1)Cl)C
302,99,O=C(O)CC(O)C[N+](C)(C)C.c1(OC)c(Cl)ccc(Cl)c1C(=O)[O-]
302,99,C(=O)(CC(O)C[N+](C)(C)C)O.COc1c(c(ccc1Cl)Cl)C(=O)[O-]
302,99,C([N+](C)(C)C)C(CC(=O)O)O.C(c1c(OC)c(ccc1Cl)Cl)([O-])=O
302,99,Clc1c(c(c(cc1)Cl)C([O-])=O)OC.O=C(CC(C[N+](C)(C)C)O)O
302,99,C(C(O)C[N+](C)(C)C)C(=O)O.COc1c(C(=O)[O-])c(ccc1Cl)Cl
302,99,O(c1c(ccc(Cl)c1C([O-])=O)Cl)C.OC(CC(O)C[N+](C)(C)C)=O
302,99,C[N+](CC(CC(O)=O)O)(C)C.c1(ccc(c(OC)c1C([O-])=O)Cl)Cl
302,99,C[N+](C)(C)CC(CC(=O)O)O.O(c1c(C([O-])=O)c(Cl)ccc1Cl)C
302,99,C(CC(O)=O)(C[N+](C)(C)C)O.O=C(c1c(ccc(c1OC)Cl)Cl)[O-]
302,99,C[N+](CC(CC(=O)O)O)(C)C.c1(Cl)c(C([O-])=O)c(OC)c(cc1)Cl
211,100,C1(C[n+]2cn(cc2)C)CCCCC1.FC(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O
211,100,FC(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)(F)F.n1(C)c[n+](CC2CCCCC2)cc1
211,100,Cn1c[n+](CC2CCCCC2)cc1.S(=O)(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O
211,100,FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.n1(C)cc[n+](c1)CC1CCCCC1
211,100,FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O.c1[n+](cn(C)c1)CC1CCCCC1
211,100,FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F.n1(c[n+](cc1)CC1CCCCC1)C
211,100,C(F)(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O.[n+]1(CC2CCCCC2)ccn(c1)C
211,100,C1CCCCC1C[n+]1cn(cc1)C.[N-](S(C(F)(F)F)(=O)=O)S(=O)(=O)C(F)(F)F
211,100,O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F.n1(C)cc[n+](CC2CCCCC2)c1
211,100,C(F)(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F.Cn1c[n+](cc1)CC1CCCCC1
215,101,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.c1cc(C[n+]2cn(cc2)C)ccc1
215,101,C(c1ccccc1)[n+]1cn(cc1)C.O=S([N-]S(=O)(C(F)(F)F)=O)(=O)C(F)(F)F
215,101,FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.c1cc(ccc1)C[n+]1ccn(C)c1
215,101,S(=O)(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O.c1cc(C[n+]2cn(cc2)C)ccc1
215,101,C(F)(F)(F)S(=O)([N-]S(C(F)(F)F)(=O)=O)=O.c1(ccccc1)C[n+]1ccn(C)c1
215,101,O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O.c1c(C[n+]2ccn(c2)C)cccc1
215,101,S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)(=O)=O.c1ccc(C[n+]2ccn(c2)C)cc1
215,101,S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)(=O)=O.n1(cc[n+](Cc2ccccc2)c1)C
215,101,C(F)(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F.[n+]1(Cc2ccccc2)ccn(C)c1
215,101,S(=O)(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F.c1c(cccc1)C[n+]1cn(C)cc1
235,102,O=S(=O)(C(F)(F)F)[N-]S(=O)(C(F)(F)F)=O.c1c2c(cc(Cn3cc[n+](c3)C)cc2)ccc1
235,102,FC(F)(F)S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O.[n+]1(C)ccn(c1)Cc1ccc2ccccc2c1
235,102,C(c1ccc2c(c1)cccc2)n1c[n+](cc1)C.FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F
235,102,FC(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F.c1cc2c(cc1)ccc(Cn1c[n+](cc1)C)c2
235,102,O=S(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F.c1[n+](C)ccn1Cc1cc2c(cccc2)cc1
235,102,O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F.c1cccc2c1ccc(Cn1c[n+](C)cc1)c2
235,102,S([N-]S(C(F)(F)F)(=O)=O)(=O)(=O)C(F)(F)F.c12ccccc2ccc(Cn2cc[n+](c2)C)c1
235,102,FC(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)(F)F.c1n(Cc2ccc3c(cccc3)c2)cc[n+]1C
235,102,C[n+]1cn(Cc2ccc3c(c2)cccc3)cc1.FC(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)F
235,102,S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)(=O)=O.c1cc(Cn2c[n+](C)cc2)cc2ccccc12
228,103,FC(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.c1c(C[n+]2cn(Cc3ccccc3)cc2)cccc1
228,103,C(F)(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O.c1cc(Cn2c[n+](cc2)Cc2ccccc2)ccc1
228,103,FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F.c1ccc(C[n+]2cn(cc2)Cc2ccccc2)cc1
228,103,O=S(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F.c1n(Cc2ccccc2)cc[n+]1Cc1ccccc1
228,103,C(F)(F)(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)F.C([n+]1ccn(c1)Cc1ccccc1)c1ccccc1
228,103,[N-](S(C(F)(F)F)(=O)=O)S(=O)(C(F)(F)F)=O.c1c(C[n+]2ccn(c2)Cc2ccccc2)cccc1
228,103,FC(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)F.c1(ccccc1)C[n+]1cn(cc1)Cc1ccccc1
228,103,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.c1n(cc[n+]1Cc1ccccc1)Cc1ccccc1
228,103,C(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)(F)F.c1c[n+](Cc2ccccc2)cn1Cc1ccccc1
228,103,C(n1c[n+](Cc2ccccc2)cc1)c1ccccc1.FC(F)(F)S([N-]S(=O)(C(F)(F)F)=O)(=O)=O
184,104,C(F)(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F.c1[n+](cn(C)c1)CC
184,104,C([n+]1ccn(C)c1)C.FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F
184,104,CC[n+]1ccn(c1)C.O=S(=O)(C(F)(F)F)[N-]S(C(F)(F)F)(=O)=O
184,104,FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F.[n+]1(CC)ccn(c1)C
184,104,CC[n+]1cn(cc1)C.S(=O)(C(F)(F)F)(=O)[N-]S(C(F)(F)F)(=O)=O
184,104,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.c1n(C)cc[n+]1CC
184,104,O=S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)=O.c1n(c[n+](c1)CC)C
184,104,Cn1cc[n+](CC)c1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
184,104,O=S(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F.c1cn(C)c[n+]1CC
184,104,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.n1(C)c[n+](cc1)CC
186,105,C(C)C[n+]1cn(cc1)C.FC(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)F
186,105,O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O.n1(c[n+](CCC)cc1)C
186,105,C(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)(F)F.c1[n+](CCC)ccn1C
186,105,C(C)C[n+]1cn(cc1)C.S(C(F)(F)F)(=O)(=O)[N-]S(C(F)(F)F)(=O)=O
186,105,C(CC)[n+]1cn(C)cc1.O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
186,105,S(=O)(=O)(C(F)(F)F)[N-]S(=O)(C(F)(F)F)=O.c1cn(C)c[n+]1CCC
186,105,O=S(=O)(C(F)(F)F)[N-]S(=O)(C(F)(F)F)=O.c1n(C)c[n+](c1)CCC
186,105,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.[n+]1(CCC)ccn(C)c1
186,105,C(F)(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.C([n+]1cn(C)cc1)CC
186,105,S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)(=O)=O.[n+]1(ccn(C)c1)CCC
188,106,C(CCC)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
188,106,O=S(=O)([N-]S(C(F)(F)F)(=O)=O)C(F)(F)F.c1[n+](CCCC)ccn1C
188,106,FC(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)(F)F.c1[n+](cn(C)c1)CCCC
188,106,O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O.c1n(c[n+](CCCC)c1)C
188,106,C(F)(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.n1(C)c[n+](CCCC)cc1
188,106,FC(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F.n1(cc[n+](CCCC)c1)C
188,106,S([N-]S(=O)(=O)C(F)(F)F)(=O)(=O)C(F)(F)F.c1cn(C)c[n+]1CCCC
188,106,FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O.[n+]1(cn(C)cc1)CCCC
188,106,FC(F)(S(=O)([N-]S(=O)(=O)C(F)(F)F)=O)F.c1n(C)cc[n+]1CCCC
188,106,O=S(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O.c1n(cc[n+]1CCCC)C
189,107,C(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)(F)(F)F.c1c[n+](CCCCC)cn1C
189,107,C(CC[n+]1ccn(c1)C)CC.S(=O)(C(F)(F)F)(=O)[N-]S(=O)(=O)C(F)(F)F
189,107,Cn1c[n+](CCCCC)cc1.FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F
189,107,FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.c1c[n+](cn1C)CCCCC
189,107,C([n+]1ccn(C)c1)CCCC.O=S(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O
189,107,C(CCC[n+]1cn(cc1)C)C.C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)(F)(F)F
189,107,C(CC[n+]1cn(cc1)C)CC.C(F)(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
189,107,C(CCC[n+]1ccn(C)c1)C.FC(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)F
189,107,FC(F)(S(=O)([N-]S(C(F)(F)F)(=O)=O)=O)F.c1[n+](ccn1C)CCCCC
189,107,FC(F)(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)F.c1cn(C)c[n+]1CCCCC
190,108,FC(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)F.c1[n+](cn(c1)C)CCCCCC
190,108,S(=O)(C(F)(F)F)([N-]S(C(F)(F)F)(=O)=O)=O.[n+]1(CCCCCC)cn(cc1)C
190,108,FC(F)(S([N-]S(=O)(C(F)(F)F)=O)(=O)=O)F.c1[n+](ccn1C)CCCCCC
