MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1
212.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,96,96,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F
233.0,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,97,97,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F
253.0,CC(=O)[O-].CCCC[n+]1ccn(C)c1,98,98,CC(=O)[O-].CCCC[n+]1ccn(C)c1
355.0,CCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,99,99,CCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
264.0,CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,100,100,CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
337.0,CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,101,101,CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21
265.0,CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,102,102,CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
275.0,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F,103,103,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F
294.0,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,104,104,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
233.0,CCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F,105,105,CCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F
198.0,CCCCCC[n+]1ccn(C)c1.[Cl-],106,106,CCCCCC[n+]1ccn(C)c1.[Cl-]
355.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,107,107,CCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
263.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,108,108,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
266.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,109,109,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
302.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,110,110,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F
223.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,111,111,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
322.0,Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],112,112,Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-]
342.0,CCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,113,113,CCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
280.0,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,114,114,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
328.0,CCCCn1cc[n+](CCCC)c1.[Cl-],115,115,CCCCn1cc[n+](CCCC)c1.[Cl-]
399.0,Cn1cc[n+](Cc2ccccc2)c1.[Br-],116,116,Cn1cc[n+](Cc2ccccc2)c1.[Br-]
